nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
Alexandriacity,LA,?,?,10,23,49.71,0,3834.1,8997.38,,,,,,,,
Taylorcity,MI,163,79000,0,?,?,41,?,6260.61,,,,,,,,
Moundsvillecity,WV,?,?,?,0,0,0,36.91,3617.57,,,,,,,,
Anchoragecity,AK,?,?,10,212,83.63,105,872.98,5535.31,,,,,,,,
Irvingcity,TX,?,?,10,67,39.88,45,401.73,6063.49,,,,,,,,
SaratogaSpringscity,NY,91,65255,?,20,76.72,7,1331.08,4814.15,,,,,,,,
Bedfordtown,NH,11,4500,?,0,0,0,31.51,992.67,,,,,,,,
Muskogeecity,OK,?,?,?,39,99.49,20,1153.03,7048.29,,,,,,,,
WestBendcity,WI,131,85350,?,6,21.87,9,127.57,4516.13,,,,,,,,
Lafayettecity,LA,?,?,0,50,48.58,52,869.6,7573.77,,,,,,,,
NewPhiladelphiacity,OH,157,55216,?,3,17.96,1,173.57,2735.22,,,,,,,,
Jacksontownship,OH,49,37772,?,8,24.28,4,203.33,3842.07,,,,,,,,
Texarkanacity,AR,?,?,?,21,90.47,18,1391.58,12127.87,,,,,,,,
CedarGrovetownship,NJ,13,11200,?,1,8.17,11,384.21,2542.3,,,,,,,,
Germantowncity,TN,?,?,?,1,2.75,2,27.49,1836.38,,,,,,,,
PanamaCitycity,FL,?,?,?,23,59.63,17,956.68,8241.94,,,,,,,,
AtlanticCitycity,NJ,1,2080,?,46,125.16,102,3583.48,27010.77,,,,,,,,
Tustincity,CA,?,?,?,12,20.42,33,345.39,5361.21,,,,,,,,
Atwatercity,CA,?,?,?,7,29.81,10,711.12,5344.06,,,,,,,,
Lansdowneborough,PA,45,41440,?,2,17.12,0,231.16,1832.19,,,,,,,,
EastLampetertownship,PA,71,21344,?,1,8.19,0,147.49,4285.48,,,,,,,,
BayCitycity,MI,17,6020,?,?,?,10,?,4839,,,,,,,,
KlamathFallscity,OR,?,?,?,10,52.19,5,506.21,4315.83,,,,,,,,
NorthSmithfieldtown,RI,7,52480,?,1,9.24,0,535.75,1995.2,,,,,,,,
Salemtown,NH,15,66660,?,4,15.37,4,211.4,5796.21,,,,,,,,
Woodburncity,OR,?,?,?,10,70.42,12,521.09,6724.88,,,,,,,,
NationalCitycity,CA,?,?,?,31,53.61,34,1469.9,7496.5,,,,,,,,
Clintontown,CT,7,15350,?,0,0,1,68.39,1732.65,,,,,,,,
AmericanForkcity,UT,?,?,?,7,37.63,0,188.13,3794.88,,,,,,,,
Livermorecity,CA,?,?,?,11,17.27,15,314.07,4690.64,,,,,,,,
Franklincity,OH,?,?,?,1,8.71,0,235.07,4762.32,,,,,,,,
Somersettown,MA,5,62430,?,4,21.49,0,96.73,2015.15,,,,,,,,
Hemetcity,CA,?,?,?,23,54.99,25,920.55,8139.06,,,,,,,,
Murfreesborocity,TN,?,?,?,11,21.51,11,791.96,6476.47,,,,,,,,
Evanstoncity,IL,?,?,?,?,?,16,?,7387.18,,,,,,,,
RiverRougecity,MI,163,68760,?,?,?,15,?,7401.15,,,,,,,,
Atholtown,MA,27,2480,?,10,83.83,0,1064.63,2975.94,,,,,,,,
Littletoncity,CO,?,?,?,9,23.22,20,278.64,2706.47,,,,,,,,
Homewoodvillage,IL,?,?,?,?,?,2,?,4712.22,,,,,,,,
Jacksontownship,NJ,29,34680,?,0,0,3,67.2,4227.9,,,,,,,,
HarkerHeightscity,TX,?,?,?,18,98.99,3,824.95,2826.82,,,,,,,,
Tullahomacity,TN,?,?,?,4,22.2,?,155.37,?,,,,,,,,
Belmontcity,CA,?,?,?,3,11.87,3,166.15,2713.82,,,,,,,,
Waynetownship,NJ,31,77840,0,9,18.22,5,125.54,5088.28,,,,,,,,
Fairfieldcity,CA,?,?,?,46,54.63,50,951.34,5904.01,,,,,,,,
Covingtoncity,GA,?,?,?,14,120.54,1,1334.6,12493.54,,,,,,,,
Tivertontown,RI,5,70880,?,0,0,2,48.01,2489.71,,,,,,,,
Stowcity,OH,153,74944,?,4,13.19,0,98.95,2315.53,,,,,,,,
Hackensackcity,NJ,3,28680,5,12,31.89,12,441.08,5056.46,,,,,,,,
Pearlandcity,TX,?,?,?,1,3.94,8,204.68,3192.28,,,,,,,,
Montgomerytownship,PA,91,50640,?,0,0,1,56.51,5085.98,,,,,,,,
Kannapoliscity,NC,?,?,?,11,35.25,11,474.31,3214.43,,,,,,,,
Fresnocity,CA,?,?,5,216,55.6,659,1418.55,9454.95,,,,,,,,
Brownsvillecity,TX,?,?,0,28,24.34,31,953.67,8977.74,,,,,,,,
SulphurSpringscity,TX,?,?,?,13,87.78,2,1215.48,5422.38,,,,,,,,
Fullertoncity,CA,?,?,10,36,30.65,31,530.44,6200.09,,,,,,,,
Centraliacity,WA,?,?,?,10,77.86,8,537.26,7249.09,,,,,,,,
NorthHaventown,CT,9,54870,?,1,4.44,3,84.35,3303,,,,,,,,
Allentowncity,PA,77,2000,0,42,39.81,42,681.43,6474.08,,,,,,,,
PointPleasantborough,NJ,29,59880,?,0,0,0,96.47,2744.13,,,,,,,,
Warrentownship,NJ,35,76940,?,0,0,1,85.9,2010.14,,,,,,,,
Asheborocity,NC,?,?,?,2,10.65,3,628.09,7404.06,,,,,,,,
Clarksburgcity,WV,?,?,?,5,28.19,1,84.57,2627.42,,,,,,,,
Walnutcity,CA,?,?,?,8,24.61,8,495.28,2294.89,,,,,,,,
Garycity,IN,?,?,5,174,150.95,503,2154.96,8024.71,,,,,,,,
Hammondcity,IN,?,?,10,53,63.42,68,1395.22,7234.57,,,,,,,,
Dennistown,MA,1,16775,?,3,20.41,9,292.52,4911.56,,,,,,,,
NorthCantoncity,OH,?,?,?,3,20.05,0,106.96,2246.14,,,,,,,,
McMinnvillecity,OR,?,?,?,9,43.58,7,266.29,5175.75,,,,,,,,
FortPiercecity,FL,?,?,?,50,133.92,18,2581.96,11466.15,,,,,,,,
MasonCitycity,IA,33,92890,?,4,13.82,?,1088.12,?,,,,,,,,
Peabodycity,MA,9,52490,?,13,26.94,3,155.42,4012.02,,,,,,,,
Benbrookcity,TX,?,?,?,7,32.73,1,149.6,2248.71,,,,,,,,
Brownwoodcity,TX,?,?,?,13,67.96,10,695.28,5849.76,,,,,,,,
Lebanoncity,PA,75,42168,?,11,43.04,2,297.37,3631.1,,,,,,,,
SouthHoustoncity,TX,?,?,?,0,0,3,306.54,7310.41,,,,,,,,
Kingsvillecity,TX,?,?,?,15,57.27,18,832.32,5681.12,,,,,,,,
Kentwoodcity,MI,81,42820,?,?,?,6,?,4524.15,,,,,,,,
Butlercity,PA,19,10464,?,3,17.73,4,212.73,3025.47,,,,,,,,
Laceytownship,NJ,29,37380,?,0,0,13,78.94,2719.18,,,,,,,,
Ansoniatown,CT,9,1220,?,2,11.02,5,346.99,2952.19,,,,,,,,
EastGreenwichtown,RI,3,22240,?,1,8.4,0,84.02,2377.75,,,,,,,,
Sharonvillecity,OH,61,71892,?,4,28.51,1,171.06,6072.7,,,,,,,,
Greenvillecity,OH,?,?,?,5,38.6,3,108.07,4585.46,,,,,,,,
Tempecity,AZ,?,?,10,65,43.52,56,556.4,7720.02,,,,,,,,
Sanfordcity,NC,?,?,?,11,66.56,12,1240.39,14013.43,,,,,,,,
Williamsburgcity,VA,830,86160,?,3,23.65,1,212.83,3689.11,,,,,,,,
Wickliffecity,OH,85,85036,?,1,7.22,0,130.01,2181.29,,,,,,,,
Smyrnacity,GA,?,?,?,13,39.3,0,447.45,8474.42,,,,,,,,
CrownPointcity,IN,?,?,0,0,0,3,54.99,1792.59,,,,,,,,
Hanahancity,SC,?,?,?,10,77.42,0,487.73,4250.21,,,,,,,,
Haverfordtownship,PA,45,33144,?,2,3.94,1,76.92,1110.39,,,,,,,,
LongBranchcity,NJ,25,41310,?,13,46.39,22,1227.61,7304.97,,,,,,,,
Humblecity,TX,?,?,?,11,82.43,3,771.88,9779.68,,,,,,,,
Suffieldtown,CT,3,74540,?,0,0,1,43.71,1118.88,,,,,,,,
Bettendorfcity,IA,?,?,?,4,13,?,454.84,?,,,,,,,,
LaCrossecity,WI,63,40775,?,7,13.65,14,74.09,5634.96,,,,,,,,
Hobartcity,IN,?,?,?,0,0,0,163.75,2378.42,,,,,,,,
Albemarlecity,NC,?,?,?,0,0,5,906.29,9165.53,,,,,,,,
RoyalOakcity,MI,125,70040,?,?,?,10,?,3851.07,,,,,,,,
Newportcity,KY,?,?,?,13,69.03,4,1093.88,7205.82,,,,,,,,
DeerfieldBeachcity,FL,?,?,?,25,52.56,5,832.58,6830.94,,,,,,,,
Christiansburgtown,VA,?,?,?,6,33.88,0,112.94,4743.62,,,,,,,,
VeroBeachcity,FL,?,?,?,15,81.46,2,657.11,7429.13,,,,,,,,
WestPatersonborough,NJ,31,79820,?,2,17.5,1,236.22,4050.74,,,,,,,,
Sherwoodcity,AR,?,?,?,3,14.49,1,270.39,4181.35,,,,,,,,
Shoreviewcity,MN,123,59998,?,?,?,3,?,1135.78,,,,,,,,
Louisvillecity,KY,?,?,10,135,49.52,257,999.13,5451.18,,,,,,,,
Needhamtown,MA,21,44105,?,3,10.57,4,144.44,1648.7,,,,,,,,
Jacksonvillecity,TX,?,?,?,10,78.2,1,594.35,4606.24,,,,,,,,
Limacity,OH,3,43554,?,48,107.7,57,2344.68,7747.54,,,,,,,,
Charlestoncity,SC,?,?,0,35,45.43,2,1283.7,7364.72,,,,,,,,
Westporttown,CT,1,83500,10,0,0,3,121.07,3285.04,,,,,,,,
Portlandcity,ME,5,60545,10,61,98.7,113,673.11,7289.29,,,,,,,,
Bucyruscity,OH,33,10030,?,6,45.26,1,165.96,4888.35,,,,,,,,
Owensborocity,KY,?,?,?,30,55.45,6,275.38,5234.07,,,,,,,,
Broomfieldcity,CO,?,?,?,1,3.56,21,259.69,3525.44,,,,,,,,
Dovertown,NJ,27,18070,?,3,20.59,4,253.89,3973.1,,,,,,,,
Ashlandcity,OH,5,2568,?,1,4.72,2,33.01,2268.33,,,,,,,,
FergusFallscity,MN,111,20906,?,?,?,2,?,4181.54,,,,,,,,
ForestGrovecity,OR,?,?,?,3,18.99,5,126.61,4051.66,,,,,,,,
Durhamcity,NC,?,?,?,109,74.67,90,1169.38,9154.31,,,,,,,,
Wiltontown,CT,1,86370,?,0,0,1,43.13,1336.95,,,,,,,,
Mantuatownship,NJ,15,43440,?,2,18.94,1,170.42,4004.92,,,,,,,,
MountPleasantcity,TX,?,?,?,3,22.85,4,358.01,5408.29,,,,,,,,
MorganHillcity,CA,?,?,?,10,37.17,19,479.52,3802.69,,,,,,,,
AppleValleytown,CA,?,?,?,16,30.62,24,673.62,5105.73,,,,,,,,
CasaGrandecity,AZ,?,?,?,15,68.72,27,1392.77,13735.28,,,,,,,,
Aberdeencity,SD,13,100,?,14,55.19,10,204.97,3358.43,,,,,,,,
Farmingtontown,CT,3,27600,?,2,9.69,0,67.86,4071.35,,,,,,,,
Eveshamtownship,NJ,5,22110,?,4,11.07,5,182.6,2321.27,,,,,,,,
Ashwaubenonvillage,WI,9,3425,?,2,11.49,2,155.08,4888,,,,,,,,
SouthKingstowntown,RI,9,67460,?,9,36.66,0,93.7,1776.18,,,,,,,,
Stamfordtown,CT,1,73070,0,22,20.52,31,500.94,5005.64,,,,,,,,
Masoncity,OH,?,?,?,4,29.98,2,134.91,2286.01,,,,,,,,
Kennewickcity,WA,?,?,?,32,65.45,5,380.43,5688.05,,,,,,,,
MoundsViewcity,MN,123,44530,?,?,?,4,?,3843.81,,,,,,,,
Haddonfieldborough,NJ,7,28770,?,1,8.59,2,68.71,3366.83,,,,,,,,
Robbinsdalecity,MN,53,54808,?,6,42.31,4,366.66,5020.45,,,,,,,,
Norwalktown,CT,1,56060,0,10,12.7,13,412.91,4981.58,,,,,,,,
Cincinnaticity,OH,61,15000,10,449,124.81,581,1562.48,7194.74,,,,,,,,
Bridgewatertown,MA,23,8085,?,1,4.43,0,159.32,1106.39,,,,,,,,
Lockportcity,NY,63,43082,?,14,54.56,4,911.96,4450.68,,,,,,,,
Kalamazootownship,MI,77,42180,?,?,?,9,?,4356.7,,,,,,,,
Paducahcity,KY,?,?,?,25,92.24,1,1660.33,7681.81,,,,,,,,
WindsorLockstown,CT,3,87070,?,0,0,3,137.42,2214.86,,,,,,,,
LasVegascity,NV,?,?,5,435,60.63,459,1014.86,5790.44,,,,,,,,
Belchertowntown,MA,15,4825,?,1,9.16,1,375.6,1722.24,,,,,,,,
Corcorancity,CA,?,?,?,4,28.86,11,764.68,2395.04,,,,,,,,
RoselleParkborough,NJ,39,64650,?,2,15.42,0,146.46,2489.79,,,,,,,,
Bedfordtown,MA,17,4615,?,0,0,0,141.03,1039.19,,,,,,,,
Maconcity,GA,?,?,10,102,91.52,45,820.1,9176.31,,,,,,,,
EastHamptontown,CT,7,22490,?,0,0,0,55.83,1507.54,,,,,,,,
BrooklynCentercity,MN,53,7948,?,?,?,16,?,8480.43,,,,,,,,
Blythevillecity,AR,?,?,?,18,102.54,42,2193.23,13301.81,,,,,,,,
Uvaldecity,TX,?,?,?,1,6.29,4,339.49,2382.75,,,,,,,,
CathedralCitycity,CA,?,?,?,19,54.43,5,1231.81,5445.74,,,,,,,,
NorthOgdencity,UT,?,?,?,2,14.95,1,44.86,2011.21,,,,,,,,
Mariettacity,GA,?,?,0,62,120.79,20,845.51,10025.33,,,,,,,,
Lowertownship,NJ,9,41610,?,19,89.15,8,243.98,3373.53,,,,,,,,
Morristowntown,NJ,27,48300,?,3,18.19,0,794.37,5615.18,,,,,,,,
Chillicothecity,OH,?,?,?,10,44.65,32,415.27,7153.38,,,,,,,,
Vincennescity,IN,?,?,?,9,45.08,8,140.25,6767.18,,,,,,,,
Demingcity,NM,?,?,?,2,14.64,4,541.85,5791.9,,,,,,,,
Waterfordtownship,NJ,7,77630,?,2,17.55,12,131.59,2851.13,,,,,,,,
Chelmsfordtown,MA,17,13135,?,1,2.98,2,369.33,2689.58,,,,,,,,
Wilmingtoncity,NC,?,?,0,38,59.6,49,1202.99,9584.68,,,,,,,,
Lubbockcity,TX,?,?,10,136,68.64,128,643.52,5655.94,,,,,,,,
Vinelandcity,NJ,11,76070,0,46,83.7,35,902.54,7276.73,,,,,,,,
Brocktoncity,MA,23,9000,0,54,61.44,?,1315.31,?,,,,,,,,
Dovertownship,NJ,29,18130,?,16,20.34,19,205.97,3743.02,,,,,,,,
Dunedincity,FL,?,?,?,10,28.85,5,513.6,3990.54,,,,,,,,
Novatocity,CA,?,?,?,22,44.86,16,383.35,3574.56,,,,,,,,
Delhitownship,OH,61,21504,?,10,32.17,5,74,2429.14,,,,,,,,
Orlandocity,FL,?,?,5,209,116.34,73,2304.49,9956.08,,,,,,,,
Cerritoscity,CA,?,?,?,10,18.16,24,908.08,6418.34,,,,,,,,
Hillsboroughtownship,NJ,35,31890,?,0,0,1,32.29,1443.33,,,,,,,,
Cartersvillecity,GA,?,?,?,6,43.85,7,716.27,5562.05,,,,,,,,
CliffsideParkborough,NJ,3,13570,?,3,14.32,0,124.14,1675.9,,,,,,,,
Miamicity,OK,?,?,?,9,66.74,0,400.42,5613.23,,,,,,,,
Oronotown,ME,19,55540,?,0,0,1,18.87,1283.26,,,,,,,,
Palatinevillage,IL,?,?,?,?,?,3,?,2647.41,,,,,,,,
Largocity,FL,?,?,?,22,32,15,622.5,4126.25,,,,,,,,
DearbornHeightscity,MI,163,21020,?,?,?,3,?,4708.85,,,,,,,,
Schenectadycity,NY,93,65508,0,40,62.35,?,1033.4,?,,,,,,,,
Schaumburgvillage,IL,?,?,?,?,?,14,?,4765.56,,,,,,,,
Piedmontcity,CA,?,?,?,0,0,11,137.47,3909.27,,,,,,,,
Hattiesburgcity,MS,?,?,?,26,53.95,7,734.56,6596.53,,,,,,,,
Longmeadowtown,MA,13,36300,?,3,18.88,3,44.06,1982.88,,,,,,,,
Oaklandcity,CA,?,?,10,353,93.62,401,2601.6,9420.56,,,,,,,,
FairLawnborough,NJ,3,22470,?,0,0,1,79.76,1885.47,,,,,,,,
LowerPaxtontownship,PA,43,45056,?,7,17.57,4,401.67,3549.73,,,,,,,,
Bangorcity,ME,19,2795,?,18,56.2,11,224.8,4842.49,,,,,,,,
ParkRidgecity,IL,?,?,?,?,?,4,?,2695.18,,,,,,,,
FarmersBranchcity,TX,?,?,?,0,0,6,386.92,6382.13,,,,,,,,
Montvilletownship,NJ,27,47670,?,1,6.19,0,37.13,2054.58,,,,,,,,
Towamencintownship,PA,91,77152,?,1,6.94,1,69.41,2151.58,,,,,,,,
Shelbytownship,MI,99,72820,?,?,?,7,?,2684.16,,,,,,,,
DaytonaBeachcity,FL,?,?,0,90,137.13,29,2082.86,9425.42,,,,,,,,
SouthHadleytown,MA,15,64145,?,2,11.62,0,203.29,1469.48,,,,,,,,
Springdalecity,AR,?,?,?,9,24.32,0,178.31,3787.76,,,,,,,,
Mercedescity,TX,?,?,?,9,61.59,4,1266.08,2607.45,,,,,,,,
Uticacity,NY,65,76540,?,24,37.51,13,426.71,5608.18,,,,,,,,
CedarHillcity,TX,?,?,?,4,15.77,3,106.42,3121.55,,,,,,,,
TexasCitycity,TX,?,?,?,36,84.81,40,690.29,8622.72,,,,,,,,
WestCovinacity,CA,?,?,5,33,31.79,85,639.59,5478.87,,,,,,,,
Pleasantoncity,CA,?,?,?,4,6.9,12,144.9,3508.59,,,,,,,,
EastGrandRapidscity,MI,81,23980,?,?,?,2,?,2495.15,,,,,,,,
Norwalkcity,OH,77,57302,?,1,6.55,0,13.1,2363.96,,,,,,,,
Hamiltoncity,OH,17,33012,0,81,124.24,49,1432.56,6883.65,,,,,,,,
Harwichtown,MA,1,29020,?,0,0,1,358,2717.09,,,,,,,,
Jeffersontowncity,KY,?,?,?,10,42.5,1,395.27,2375.89,,,,,,,,
Bainbridgecity,GA,?,?,?,4,34.89,1,985.78,7781.56,,,,,,,,
MenloParkcity,CA,?,?,?,8,26.75,9,598.56,4270.19,,,,,,,,
Flagstaffcity,AZ,?,?,?,14,26.67,3,493.46,8139.16,,,,,,,,
Kilgorecity,TX,?,?,?,17,146.88,4,1045.45,10860.55,,,,,,,,
Glassboroborough,NJ,15,26340,?,16,91.56,6,412.04,5133.34,,,,,,,,
SanJuancity,TX,?,?,?,3,22.49,2,307.42,4978.63,,,,,,,,
Swampscotttown,MA,9,68645,?,0,0,1,96.85,3147.7,,,,,,,,
LosGatostown,CA,?,?,?,5,17.02,19,268.94,3295.32,,,,,,,,
CreveCoeurcity,MO,?,?,?,0,0,0,147.83,3030.55,,,,,,,,
Denisoncity,TX,?,?,?,9,41.09,13,803.58,7108.94,,,,,,,,
Bakersfieldcity,CA,?,?,0,39,20.31,113,974.37,7215.88,,,,,,,,
TheVillagecity,OK,?,?,?,4,36.6,2,603.84,7721.87,,,,,,,,
Albanycity,NY,1,1000,5,59,56.39,45,1183.14,6316.12,,,,,,,,
Newarkcity,NJ,13,51000,0,257,98.76,184,3928.03,10942.54,,,,,,,,
EastOrangecity,NJ,13,19390,5,88,120.18,97,2941.62,7166.95,,,,,,,,
Ogdencity,UT,?,?,10,42,60.61,42,577.28,7709.63,,,,,,,,
Petersburgcity,VA,730,61832,?,26,62.88,8,1332.66,6682.63,,,,,,,,
Baytowncity,TX,?,?,?,46,66.93,18,566.03,6086.67,,,,,,,,
Eugenecity,OR,?,?,10,64,53.23,57,390.93,6890.36,,,,,,,,
Providencecity,RI,7,59000,10,114,76.1,384,916.52,9460.97,,,,,,,,
NorthLittleRockcity,AR,?,?,0,71,112.73,25,1020.91,11250.65,,,,,,,,
Metuchenborough,NJ,23,45690,?,0,0,3,183.56,2699.81,,,,,,,,
Warrentown,RI,1,73760,?,1,8.82,0,8.82,3167.46,,,,,,,,
Kentcity,OH,?,?,?,10,34.72,10,395.81,3517.12,,,,,,,,
Cypresscity,CA,?,?,?,7,15,16,319.39,4392.09,,,,,,,,
Yukoncity,OK,?,?,?,5,22.91,12,132.89,3986.8,,,,,,,,
Lislevillage,IL,?,?,?,?,?,2,?,3377.26,,,,,,,,
ChapelHilltown,NC,?,?,?,15,31.62,14,672.46,5046.59,,,,,,,,
Bedfordcity,IN,?,?,?,4,27.99,4,538.88,4674.92,,,,,,,,
Mauldincity,SC,?,?,?,1,7.6,0,212.78,2173.42,,,,,,,,
Kentcity,WA,?,?,?,28,67.39,44,536.69,9352.36,,,,,,,,
Waynesborocity,VA,820,83680,?,5,26.4,5,337.96,4198.13,,,,,,,,
Westfieldcity,MA,13,76030,?,11,28.65,8,885.56,2878.05,,,,,,,,
Bountifulcity,UT,?,?,?,10,26.38,11,137.16,2640.39,,,,,,,,
Cadillaccity,MI,165,12320,?,?,?,3,?,5913.72,,,,,,,,
Arlingtontown,MA,17,1605,?,3,6.48,3,188.02,1346.39,,,,,,,,
PaloAltocity,CA,?,?,0,11,19.23,15,241.21,5743.65,,,,,,,,
Spartatownship,NJ,37,69690,?,0,0,1,51.57,1366.51,,,,,,,,
Stratfordtown,CT,1,74190,0,2,3.99,18,199.45,4374.02,,,,,,,,
DeerParkcity,TX,?,?,?,0,0,1,207.47,2133.97,,,,,,,,
ArlingtonHeightsvillage,IL,?,?,?,?,?,26,?,2489.91,,,,,,,,
Hazelwoodcity,MO,?,?,?,3,18.83,7,420.62,4564,,,,,,,,
NewHopecity,MN,53,45628,?,?,?,4,?,3173.04,,,,,,,,
Newberrytownship,PA,133,53224,?,3,23.67,1,55.23,2351.27,,,,,,,,
SouthElMontecity,CA,?,?,?,10,45.04,11,1531.26,4107.37,,,,,,,,
Stephenvillecity,TX,?,?,?,1,6.91,1,62.17,4759.27,,,,,,,,
Cudahycity,CA,?,?,?,7,30.23,6,1593.54,2725,,,,,,,,
Lincolntownship,MI,21,47600,?,?,?,2,?,2724.32,,,,,,,,
Albanycity,CA,?,?,?,1,5.9,0,601.38,4020.99,,,,,,,,
Ewingtownship,NJ,21,22185,?,11,31.31,18,216.31,5063.33,,,,,,,,
FortThomascity,KY,?,?,?,1,6.17,0,61.69,888.29,,,,,,,,
LaMiradacity,CA,?,?,?,9,19.32,11,650.56,3139.02,,,,,,,,
Swataratownship,PA,43,75672,?,8,40.01,3,525.08,6706.01,,,,,,,,
Totowaborough,NJ,31,73140,?,1,9.59,1,182.15,4908.45,,,,,,,,
WestCaldwelltownship,NJ,13,78510,?,0,0,0,84.96,2473.33,,,,,,,,
Coventrytown,RI,3,18640,?,4,12.83,16,125.06,2379.35,,,,,,,,
CalumetCitycity,IL,?,?,?,?,?,38,?,8227.83,,,,,,,,
Troycity,MI,125,80700,0,?,?,17,?,4279.66,,,,,,,,
Danvillecity,CA,?,?,?,1,2.57,9,25.7,1765.89,,,,,,,,
Waycrosscity,GA,?,?,?,11,61.35,8,730.58,9118.29,,,,,,,,
Centervillecity,OH,?,?,?,5,22.9,5,114.49,3201.14,,,,,,,,
Rostravertownship,PA,129,66376,?,0,0,1,61.33,3451.9,,,,,,,,
Ryecity,NY,119,64309,?,0,0,0,33.38,1962.62,,,,,,,,
Lyndhursttownship,NJ,3,42090,?,6,31.47,3,178.33,3498.37,,,,,,,,
Somervillecity,MA,17,62535,0,10,14.43,8,249.58,3348.43,,,,,,,,
Sheltontown,CT,1,68170,?,1,2.71,4,43.35,1514.7,,,,,,,,
NorthBergentownship,NJ,17,52470,?,9,17.9,4,294.3,4128.14,,,,,,,,
Columbuscity,GA,215,?,5,49,25.75,46,611.05,5857.78,,,,,,,,
MortonGrovevillage,IL,?,?,?,?,?,4,?,3249.6,,,,,,,,
TwinFallscity,ID,?,?,?,10,30.86,12,438.23,6156.84,,,,,,,,
Minnetonkacity,MN,53,43252,?,?,?,9,?,3092.32,,,,,,,,
EastProvidencecity,RI,7,22960,?,2,4.02,20,150.88,2939.22,,,,,,,,
Cohoescity,NY,1,16749,?,1,6.31,?,669.02,?,,,,,,,,
GlensFallscity,NY,113,29333,?,10,73.87,?,1987.15,?,,,,,,,,
Dyersburgcity,TN,?,?,?,19,105.54,0,966.56,6504.83,,,,,,,,
Cromwelltown,CT,7,18080,?,0,0,0,134.26,3269.63,,,,,,,,
Bloomfieldtownship,MI,125,9110,?,?,?,12,?,2955.73,,,,,,,,
Cranstoncity,RI,7,19180,0,9,11.72,16,166.71,3413.65,,,,,,,,
Marshallcity,TX,?,?,?,18,75.75,10,938.43,7259.18,,,,,,,,
CoralGablescity,FL,?,?,10,8,18.87,7,974.36,13650.41,,,,,,,,
Hagerstowncity,MD,?,?,?,12,30.94,21,618.78,4473.26,,,,,,,,
Vernontown,CT,13,78250,?,1,3.29,10,204.28,2263.52,,,,,,,,
Killeencity,TX,?,?,0,90,106.61,136,643.24,5166.08,,,,,,,,
Morgantowncity,WV,?,?,?,24,90.21,7,360.85,4784.99,,,,,,,,
Athenscity,TN,?,?,?,6,42.76,3,669.95,4632.6,,,,,,,,
Clintontownship,MI,99,16520,?,?,?,12,?,3384.14,,,,,,,,
Hamdentown,CT,9,35650,0,8,15.07,1,177.06,3987.64,,,,,,,,
Friendswoodcity,TX,?,?,?,8,27.64,4,190.01,1931.18,,,,,,,,
SanGabrielcity,CA,?,?,?,14,36.68,9,822.57,3492,,,,,,,,
SanLuisObispocity,CA,?,?,?,11,27.15,48,589.98,4825.97,,,,,,,,
Bedfordcity,TX,?,?,?,16,35.02,4,188.22,3403.37,,,,,,,,
Lakevillecity,MN,37,35180,?,?,?,20,?,2726.98,,,,,,,,
Marshfieldcity,WI,141,49675,?,1,5.05,2,151.58,3910.87,,,,,,,,
BigRapidscity,MI,107,8300,?,?,?,3,?,4523.53,,,,,,,,
Grovescity,TX,?,?,?,0,0,4,145.76,5054.8,,,,,,,,
Longviewcity,TX,?,?,10,73,97.8,22,833.29,7431.27,,,,,,,,
Norfolkcity,VA,710,57000,5,204,83.66,135,1135.5,8027.25,,,,,,,,
Birminghamcity,AL,?,?,5,297,109.7,215,2466.68,9349.97,,,,,,,,
McCombcity,MS,?,?,?,3,24.47,3,750.53,8117.15,,,,,,,,
RoundRockcity,TX,?,?,?,22,52.11,6,184.77,3181.33,,,,,,,,
Bridgeporttown,CT,1,8070,0,72,54.11,192,1908.96,8455.77,,,,,,,,
Onalaskacity,WI,63,59925,?,1,7.82,0,54.75,5552.95,,,,,,,,
Northvilletownship,MI,163,59000,?,?,?,2,?,2872.72,,,,,,,,
Lincolnwoodvillage,IL,?,?,?,?,?,3,?,6003.59,,,,,,,,
Lawrencevillecity,GA,?,?,?,5,23.05,7,364.21,5297.13,,,,,,,,
SouthBurlingtoncity,VT,7,66175,?,3,22.93,?,122.28,?,,,,,,,,
Indianolacity,IA,181,92036,?,1,7.93,?,15.86,?,,,,,,,,
MountPleasanttown,SC,?,?,?,3,8.69,0,147.79,4129.36,,,,,,,,
AlbertLeacity,MN,47,694,?,?,?,3,?,3927.98,,,,,,,,
Hendersoncity,TX,?,?,?,?,?,0,?,9384.65,,,,,,,,
LakeWorthcity,FL,?,?,?,11,34.36,0,1680.3,12452.37,,,,,,,,
Bethlehemtownship,PA,95,6096,?,1,5.99,1,83.81,2675.85,,,,,,,,
MichiganCitycity,IN,?,?,?,22,64.33,7,663.76,7228.28,,,,,,,,
Kenoshacity,WI,59,39225,5,53,61.77,33,536.08,5063.63,,,,,,,,
WestWindsortownship,NJ,21,80240,?,1,6.07,0,103.24,2641.81,,,,,,,,
SantaBarbaracity,CA,?,?,0,44,51.13,18,779.72,5227.99,,,,,,,,
Harveycity,IL,?,?,?,?,?,12,?,10074.27,,,,,,,,
Danvillecity,VA,590,21344,?,24,43.82,17,385.23,3850.44,,,,,,,,
Logansportcity,IN,?,?,?,8,47.01,0,82.26,5153.06,,,,,,,,
